"Region","Year","Race/Ethnicity","Location of Placement","Type of Placement","Measure Type","Variable","Value"
"Region 1: Southwest","SFY 2004-2005","White","In State","Foster Care","Number","Children in Placement",38
"Region 1: Southwest","SFY 2004-2005","White","In State","Relative Foster Care","Number","Children in Placement",19
"Region 1: Southwest","SFY 2004-2005","White","In State","Special Study","Number","Children in Placement",4
"Region 1: Southwest","SFY 2004-2005","White","In State","Therapeutic Foster Care","Number","Children in Placement",3
"Region 1: Southwest","SFY 2004-2005","White","In State","PDC or Safe Home","Number","Children in Placement",7
"Region 1: Southwest","SFY 2004-2005","White","In State","Shelter","Number","Children in Placement",2
"Region 1: Southwest","SFY 2004-2005","White","In State","Group Home","Number","Children in Placement",10
"Region 1: Southwest","SFY 2004-2005","White","In State","Residential Treatment Center","Number","Children in Placement",13
"Region 1: Southwest","SFY 2004-2005","White","In State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","White","In State","Solnit Center","Number","Children in Placement",2
"Region 1: Southwest","SFY 2004-2005","White","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","White","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","White","In State","Independent Living","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","White","In State","Total","Number","Children in Placement",99
"Region 1: Southwest","SFY 2004-2005","White","Out of State","Foster Care","Number","Children in Placement",4
"Region 1: Southwest","SFY 2004-2005","White","Out of State","Relative Foster Care","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","White","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","White","Out of State","Therapeutic Foster Care","Number","Children in Placement",2
"Region 1: Southwest","SFY 2004-2005","White","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","White","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","White","Out of State","Group Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","White","Out of State","Residential Treatment Center","Number","Children in Placement",14
"Region 1: Southwest","SFY 2004-2005","White","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","White","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","White","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","White","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","White","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","White","Out of State","Total","Number","Children in Placement",20
"Region 1: Southwest","SFY 2004-2005","Black","In State","Foster Care","Number","Children in Placement",130
